indicator,pattern,rate,tiers,seed,mape,flips,n_pairs,coverage,rel_width,n_participants,pds,flow_share
GHG,random,0.2,2,8,15.18037496501382,6.790123456790123,162,100.0,0.8886711447046002,13,0.2510994365907662,0.17524397367481695
GHG,random,0.2,2,9,12.548499158652964,8.024691358024691,162,94.73684210526315,0.9544406192392194,13,0.2780065713244732,0.2617785187930345
GHG,random,0.2,3,0,11.229051230818262,6.172839506172839,162,84.21052631578947,0.9698866702785011,13,0.30924535083980326,0.18494613179933145
GHG,random,0.2,3,1,14.156129039329379,7.407407407407407,162,100.0,0.9949915902397336,13,0.28492361238896907,0.2903512779075706
GHG,random,0.2,3,2,14.9676841468037,9.25925925925926,162,89.47368421052632,0.959003439728092,13,0.26878089877751415,0.15862597950513171
GHG,random,0.2,3,3,9.276564878427331,8.641975308641975,162,100.0,0.9578342337085914,13,0.3018615757945516,0.17422065475989776
GHG,random,0.2,3,4,10.021452538322778,9.25925925925926,162,89.47368421052632,0.9383137390394695,13,0.30356760130469107,0.2595475286865314
GHG,random,0.2,3,5,19.470473647119775,11.11111111111111,162,100.0,0.994596339915567,13,0.2667766127075312,0.19558747597603135
GHG,random,0.2,3,6,11.209191440150809,8.024691358024691,162,89.47368421052632,0.9970236158545905,13,0.2994624791457243,0.3664793624940493
GHG,random,0.2,3,7,18.65360433380328,8.641975308641975,162,100.0,0.7987198092398892,13,0.24932048784462105,0.15672006914487088
GHG,random,0.2,3,8,16.287126079602984,8.024691358024691,162,100.0,0.8698184526808673,13,0.24799116767914672,0.1755664268937691
GHG,random,0.2,3,9,16.269325475325257,10.493827160493828,162,100.0,0.8296354871603367,13,0.2284761402132267,0.1894272118993898
GHG,random,0.2,0,0,18.890003653783495,10.493827160493828,162,100.0,0.8898511363891359,13,0.2508201494765648,0.2745501782909234
GHG,random,0.2,0,1,13.60577079809017,5.555555555555555,162,68.42105263157895,0.8606021356958552,13,0.4316727185835752,0.33770195079512283
GHG,random,0.2,0,2,16.661061707535367,6.172839506172839,162,94.73684210526315,0.9683826237382773,13,0.23004947212126053,0.2152614297911594
GHG,random,0.2,0,3,16.562574340151002,6.172839506172839,162,100.0,0.863320627714946,13,0.2507198507609769,0.2843789736545391
GHG,random,0.2,0,4,19.065472285441825,8.024691358024691,162,100.0,0.8621276677996234,13,0.2694599271082404,0.27805921703636255
GHG,random,0.2,0,5,15.21861067180143,8.024691358024691,162,89.47368421052632,0.8733200507039175,13,0.32452862234235996,0.22331892474664716
GHG,random,0.2,0,6,15.847708251597181,10.493827160493828,162,100.0,0.9253039225952342,13,0.2173128952743518,0.1204771624297741
GHG,random,0.2,0,7,13.661230701308385,9.876543209876543,162,100.0,0.9277604367116604,13,0.24422711224536023,0.14790943734361006
GHG,random,0.2,0,8,12.370239335784806,4.938271604938271,162,73.68421052631578,0.9105497285099784,13,0.36871178721551684,0.19526621974961192
GHG,random,0.2,0,9,12.412989212220928,6.172839506172839,162,100.0,0.9221995975668349,13,0.3065958417353012,0.14254418085439843
GHG,random,0.4,1,0,9.781873000836171,4.320987654320987,162,100.0,0.7525394871267611,26,0.36141545540976994,0.49944204949886445
GHG,random,0.4,1,1,10.403375065337194,5.555555555555555,162,100.0,0.8114631236882294,26,0.3604290750430545,0.3987711985477774
GHG,random,0.4,1,2,13.466249145390572,4.320987654320987,162,100.0,0.7790387856585277,26,0.2954107578653598,0.3860183486876775
GHG,random,0.4,1,3,10.894540452781563,6.790123456790123,162,100.0,0.6341575585801675,26,0.33895364438311754,0.477443469336554
GHG,random,0.4,1,4,15.78578954154474,10.493827160493828,162,94.73684210526315,0.8410721472639043,26,0.2839363495497598,0.34586535702115795
GHG,random,0.4,1,5,14.441616784569906,6.790123456790123,162,100.0,0.9192684173864236,26,0.2976668367446484,0.4604023911570774
GHG,random,0.4,1,6,14.686395277382713,9.25925925925926,162,100.0,0.7571819505024961,26,0.300303971185491,0.3879586804394086
GHG,random,0.4,1,7,15.866281108442838,4.938271604938271,162,100.0,0.8596802937340796,26,0.31309010046787283,0.48783169101596463
GHG,random,0.4,1,8,12.15832326448932,6.790123456790123,162,94.73684210526315,0.9980921471681324,26,0.29588418876179773,0.27082727211834184
GHG,random,0.4,1,9,16.797928309492217,8.641975308641975,162,100.0,0.7540875080969992,26,0.2633224775027159,0.33482000358201897
GHG,random,0.4,2,0,13.566401547915607,3.7037037037037037,162,100.0,0.9274980844183608,26,0.28743783258696554,0.4165388277689519
GHG,random,0.4,2,1,8.318281941911412,5.555555555555555,162,73.68421052631578,0.8437927005465469,26,0.43436151636316456,0.43920926527024806
GHG,random,0.4,2,2,18.41066338121459,8.641975308641975,162,100.0,0.7970720167184062,26,0.2850348274066389,0.34642744128886765
GHG,random,0.4,2,3,9.442279906754022,7.407407407407407,162,100.0,0.7818277949836148,26,0.393384329218359,0.36697615210465573
GHG,random,0.4,2,4,12.109921723979904,6.172839506172839,162,100.0,0.8516443129984185,26,0.4176164862113655,0.5165353628326674
GHG,random,0.4,2,5,11.066112964402091,4.938271604938271,162,89.47368421052632,0.8352587026535495,26,0.3760589546311462,0.36074975176231794
GHG,random,0.4,2,6,12.615662879156373,8.024691358024691,162,100.0,0.8780594760374363,26,0.35122347178119034,0.4472286010179654
GHG,random,0.4,2,7,17.190388062618148,7.407407407407407,162,94.73684210526315,0.7549735344145058,26,0.29766009838826735,0.33151648359790525
